,playerID,nameFirst,nameLast,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,BA,TOTB,SLG,OBP,OPS,RBI/AB,HR/G,R/G,BABIP,Cluster,Total
26433,dawsoan01,Andre,Dawson,1980,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,10
41120,suareeu01,Eugenio,Suarez,2018,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,2,10
19164,anderha02,Harry,Anderson,1958,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,2,10
23721,singlke01,Ken,Singleton,1975,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,10
12053,cochrmi01,Mickey,Cochrane,1932,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,2,10
11962,simmoal01,Al,Simmons,1933,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,2,10
20200,alouma01,Matty,Alou,1969,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,10
12117,hafeych01,Chick,Hafey,1930,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,2,10
852,jonesch01,Charley,Jones,1883,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,2,10
35473,hunteto01,Torii,Hunter,2013,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,10
12058,combsea01,Earle,Combs,1925,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,10
30257,mcgrifr01,Fred,McGriff,1991,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,2,10
18320,smithal04,Al,Smith,1955,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,10
26335,armasto01,Tony,Armas,1981,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,2,10
40857,rendoan01,Anthony,Rendon,2014,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,10
30987,devermi01,Mike,Devereaux,1992,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,2,10
35154,ramirar01,Aramis,Ramirez,2006,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,2,10
19822,mccovwi01,Willie,McCovey,1963,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,2,10
1454,connoro01,Roger,Connor,1883,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,2,10
41434,hanigmi01,Mitch,Haniger,2018,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,10
28920,daviser01,Eric,Davis,1988,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,2,10
40956,casteni01,Nick,Castellanos,2018,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,10
19785,killeha01,Harmon,Killebrew,1963,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,2,10
34430,abreubo01,Bobby,Abreu,2003,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,10
26336,armasto02,Tony,Armas,1981,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,2,10
34157,jonesan01,Andruw,Jones,2006,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,2,10
35013,konerpa01,Paul,Konerko,2006,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,2,10
28921,daviser01,Eric,Davis,1989,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,2,10
1152,carpehi01,Hick,Carpenter,1882,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,2,10
9569,heilmha01,Harry,Heilmann,1922,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,2,10
1288,hornujo01,Joe,Hornung,1884,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,10
34794,beltrad01,Adrian,Beltre,2011,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,2,10
19648,stuardi01,Dick,Stuart,1961,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,2,10
234,meyerle01,Levi,Meyerle,1874,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,2,10
